iid,gender,age,field_cd,race,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1
471,0,30,4,4,5,3,3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4,,7,8,8,9,9
472,0,25,5,3,4,2,10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,,8,10,10,8,9
473,0,34,10,4,6,4,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,,7,9,8,10,7
474,0,30,10,1,6,5,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,,9,9,10,8,7
475,0,27,13,3,6,2,1,1,6,10,6,5,2,0,5,4,4,9,8,3,5,6,9,,5,8,5,7,7
476,0,25,13,2,5,2,4,1,7,9,5,5,4,1,7,3,3,3,3,3,7,6,3,,7,9,5,7,6
477,0,27,5,3,4,2,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,,6,8,7,7,7
478,0,26,13,2,4,1,9,7,9,7,7,9,9,3,3,8,4,7,9,8,9,4,6,,7,8,9,8,7
479,0,27,13,2,4,3,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7,,8,8,8,8,8
480,0,26,5,2,4,1,7,1,8,9,9,9,3,1,6,10,3,3,4,4,4,5,7,,8,9,10,8,7
481,1,23,9,2,3,2,3,3,7,9,8,7,1,2,5,8,2,7,10,10,10,6,1,,8,7,8,9,5
482,1,30,8,2,6,1,9,7,5,9,6,5,8,2,5,9,6,7,7,2,4,4,3,,7,10,9,8,8
483,1,28,3,2,3,1,10,1,10,10,10,10,5,1,1,10,5,10,10,10,10,10,5,,8,10,10,10,10
484,1,31,18,4,6,4,7,3,5,9,9,9,9,3,7,9,1,9,9,9,9,2,7,,4,8,2,9,9
485,1,29,3,1,6,2,6,10,9,7,7,7,4,6,6,9,8,8,8,7,8,7,4,,8,8,7,8,7
486,1,32,10,3,6,2,7,1,3,10,8,6,4,1,9,8,1,7,10,5,8,2,2,,7,10,8,9,9
487,1,24,6,4,5,3,4,4,2,8,5,3,2,5,2,7,8,5,9,6,10,6,2,,7,9,6,8,5
488,1,29,8,4,2,3,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,,5,10,7,10,8
489,1,28,8,2,2,1,7,7,7,9,9,9,6,9,9,6,6,9,9,9,7,6,5,,6,8,8,9,10
490,1,29,14,2,6,3,3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,,3,7,6,8,6
491,1,29,8,3,4,1,9,2,9,9,9,8,9,7,9,8,2,7,8,8,9,9,6,,7,7,7,7,7
492,1,30,10,6,4,2,10,10,10,10,10,10,10,2,4,10,7,5,5,2,5,10,10,,10,10,10,10,10
493,1,20,13,4,6,5,10,10,7,7,4,4,3,3,6,7,10,8,8,7,7,10,6,,7,7,8,8,8
494,1,30,6,2,3,3,8,10,4,10,10,10,1,1,4,8,6,9,10,7,8,9,10,,9,10,10,10,7
495,1,32,15,6,2,1,7,5,6,7,5,6,7,7,6,5,6,7,7,6,5,5,6,,7,7,7,8,9
496,0,23,5,4,5,2,8,1,8,7,7,7,8,1,1,7,3,3,3,5,5,5,5,,5,8,6,9,8
497,0,24,10,2,7,1,7,5,1,8,7,6,7,3,1,7,8,6,9,9,8,8,7,,8,10,10,9,8
498,0,25,10,2,4,1,3,1,5,7,3,3,6,6,9,8,9,6,8,8,8,3,1,,8,9,10,9,10
499,0,26,10,2,4,1,1,1,1,9,9,9,2,1,8,9,6,8,10,10,10,5,1,,9,10,9,10,4
500,0,25,10,1,5,3,4,2,6,7,7,7,2,2,7,8,5,7,8,8,8,6,5,,8,9,9,9,9
501,0,26,10,2,4,3,5,4,8,8,9,9,6,1,3,9,7,9,9,9,10,7,6,,8,9,8,9,9
502,1,26,5,4,3,2,8,8,9,6,5,5,10,9,8,7,8,6,9,5,8,3,4,,7,7,9,9,9
503,1,25,10,2,6,5,2,4,4,8,8,8,7,5,2,6,5,7,8,9,9,7,7,,7,9,4,10,5
504,1,23,5,2,5,2,1,1,2,4,4,4,8,1,3,6,1,5,6,7,7,3,1,,7,5,6,8,8
505,1,27,6,4,4,1,10,6,10,5,10,10,9,7,1,10,10,10,10,10,10,10,10,,9,10,8,10,10
506,1,24,2,4,7,2,6,4,6,7,7,7,8,2,4,9,2,5,5,5,5,2,1,,5,8,7,9,10
507,1,24,2,4,7,3,10,9,10,9,9,8,7,4,5,8,5,7,6,6,8,3,2,,7,8,7,8,7
508,1,36,2,4,5,1,10,4,7,6,4,4,4,9,7,10,3,5,4,7,10,4,8,,7,8,8,9,8
509,0,28,6,4,4,2,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,,5,6,4,8,9
510,0,26,8,3,7,2,8,1,4,10,8,7,10,5,7,9,1,3,9,7,5,1,7,,7,9,6,8,4
511,0,23,5,4,7,3,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8,,8,4,10,8,8
512,0,,15,2,3,2,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5,,7,8,8,7,7
513,0,23,15,2,6,4,1,1,9,9,9,9,1,0,8,9,8,9,10,6,8,6,6,,6,8,7,6,4
514,0,23,3,2,4,3,5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6,7,,8,10,8,9,7
515,0,23,6,2,6,3,10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,,8,10,8,10,8
516,0,27,10,4,6,3,3,3,6,10,9,9,5,5,8,9,6,9,4,9,9,9,3,,8,9,9,8,8
517,0,30,15,3,5,3,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,,8,9,7,9,7
518,0,23,15,2,7,2,4,2,5,8,6,7,5,5,9,9,8,8,8,6,8,9,4,,6,9,8,8,7
519,0,26,9,2,4,2,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2,2,,8,10,9,9,10
520,0,28,11,6,7,1,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8,2,,8,9,7,8,5
521,0,26,11,2,3,1,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6,6,,7,9,9,8,8
522,0,22,1,2,6,2,6,6,6,7,8,9,3,3,7,9,8,10,10,7,7,5,3,,7,7,7,9,8
523,0,27,9,4,4,3,8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,,6,9,8,9,6
524,0,25,4,4,7,4,4,1,7,9,8,8,6,3,8,7,7,8,8,5,5,7,5,,5,9,7,8,7
525,0,24,15,2,4,1,6,2,8,6,5,5,3,2,1,8,8,9,10,7,8,8,1,,6,10,8,10,9
526,0,26,11,3,5,3,2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4,10,,3,6,9,7,10
527,0,24,11,6,4,3,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,,10,10,10,10,10
528,0,29,11,3,6,1,5,8,4,2,2,2,8,6,2,2,2,3,7,3,3,2,2,,9,6,8,8,8
529,0,22,5,4,4,1,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4,4,,6,10,9,7,5
530,0,22,5,4,7,3,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,,3,9,9,9,7
531,1,25,5,4,7,2,10,10,6,6,10,10,10,6,6,6,10,10,10,8,10,1,6,,10,10,6,10,10
532,1,26,5,4,2,2,7,8,6,8,6,4,4,8,6,9,7,6,8,6,7,5,2,,7,9,7,8,8
533,1,26,5,2,6,2,7,3,5,7,5,5,7,2,5,3,1,5,7,6,7,2,2,,8,9,8,9,9
534,1,24,5,6,5,6,7,9,3,9,9,8,6,7,7,7,3,6,7,8,7,4,1,,7,9,8,9,5
535,1,23,10,2,5,3,4,3,4,7,7,6,2,8,8,8,6,6,9,8,9,5,6,,6,7,6,7,5
536,1,29,2,2,5,2,7,3,5,8,7,7,3,2,7,8,6,4,9,7,9,7,1,,7,8,8,8,8
537,1,22,5,4,5,1,6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10,1,,7,9,9,9,7
538,1,32,5,2,4,2,8,2,8,8,8,8,8,8,6,8,5,4,6,3,6,6,6,,7,8,9,8,8
539,1,22,1,2,4,1,8,9,8,9,9,9,4,6,8,8,6,7,9,7,7,7,6,,8,8,9,10,10
540,1,24,5,2,7,4,6,4,4,5,7,8,8,9,6,7,4,9,9,9,9,6,3,,5,7,6,5,7
541,1,23,5,4,7,3,10,10,7,8,3,5,4,3,8,3,10,5,10,10,9,9,3,,8,9,9,9,8
542,1,23,5,4,5,3,4,7,6,10,9,8,1,8,8,9,8,8,9,9,8,9,6,,8,9,8,8,9
543,1,24,5,4,7,2,8,8,5,8,8,5,5,9,8,8,8,6,8,8,8,8,3,,7,9,9,8,9
544,1,23,5,4,7,3,3,4,3,10,7,8,5,14,9,2,10,7,8,8,9,10,3,,7,10,10,9,8
545,1,24,5,2,7,2,10,2,2,5,5,4,7,5,4,7,4,3,4,5,5,2,1,,8,8,8,9,6
546,1,30,8,2,4,1,10,5,8,10,4,3,5,1,1,2,4,3,6,3,9,10,6,,9,8,10,8,7
547,1,30,8,2,3,1,9,6,9,7,8,8,2,2,8,9,4,9,8,9,9,6,5,,7,9,8,8,8
548,1,30,8,2,6,1,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,,10,10,10,10,10
549,1,28,8,2,7,1,8,5,6,9,7,7,4,8,8,7,7,8,8,10,10,8,2,,7,10,8,9,9
550,1,30,8,2,4,1,5,3,5,9,7,8,3,3,8,8,3,7,7,4,6,6,3,,7,7,7,7,7
551,1,27,8,1,6,3,6,1,7,6,7,3,2,1,7,10,2,5,6,7,7,7,1,,7,8,3,8,5
552,1,25,18,2,2,1,8,2,5,10,10,10,7,1,9,8,3,7,9,10,10,7,3,,8,7,6,7,7
552,1,25,18,2,2,1,8,2,5,10,10,10,7,1,9,8,3,7,9,10,10,7,3,,8,7,6,7,7
